ISO;País;Esperanza vida 65 años
ALB;Albania;17.7
DEU;Alemania;19.3
AUT;Austria;19.6
AZE;Azerbaiyán;NA
BEL;Bélgica;20.2
BGR;Bulgaria;15.4
CYP;Chipre;19.5
HRV;Croacia;17.1
DNK;Dinamarca;19.5
SVK;Eslovaquia;17.1
SVN;Eslovenia;19.7
ESP;ESPAÑA;21.3
EST;Estonia;18.3
FIN;Finlandia;19.7
FRA;Francia;21.3
GEO;Georgia;NA
GRC;Grecia;19.4
HUN;Hungría;16.4
IRL;Irlanda;20.5
ISL;Islandia;20.1
ITA;Italia;20.6
LVA;Letonia;16.6
LIE;Liechtenstein;21.6
LTU;Lituania;17
LUX;Luxemburgo;21
MKD;Macedonia del N.;NA
MLT;Malta;20.6
MDA;Moldavia;NA
MNE;Montenegro;NA
NOR;Noruega;20.3
NLD;Países Bajos;19.8
POL;Polonia;17.7
PRT;Portugal;20.5
CZE;Chequia;18
ROU;Rumanía;16.3
SRB;Serbia;15.4
SWE;Suecia;20.8
CHE;Suiza;21.4
TUR;Turquía;15.4
EU;UE-27;19.5
